sentence,trigger,event_type,tag
在同巴勒斯坦领导人阿拉法特会谈后，施罗德一方面表示欧盟支持巴勒斯坦自决和建国的权利，另一方面希望巴方避免采取“单方面行动”,会谈,21,66
新华社马尼拉１２月３０日电菲律宾首都马尼拉地区３０日发生多起炸弹爆炸事件，造成至少１３人死亡，７０多人受伤,死亡,1,1063
值得注意的是，中国有位领导本月初考察广西时，特别要求广西扩大对外开放，引进更多国外资金和管理经验，把自己建成中国和东南亚之间的重要物流枢纽,考察,32,2052
而他的同伙则是眼看情况不妙，弃他不顾逃离现场,逃离,32,1365
按英国惯例，名牌大学校长均以皇家授予学位的人担任，英国大学聘请外国人担任校长，这在英国近代教育史上还是第一次,担任,3,354
虽然以色列和巴勒斯坦人之间已经在上个星期达成一项停火的协议，迹象也显示暴力冲突有减少的趋势，但昨天在加沙走廊和西亚还是有零星的冲突发生,冲突,0,1697
警方透露，星期五被捕的两人马力克（53岁）和巴格里（51岁）,被捕,27,1074
”他说，“由于１０多年来邻国内战，几内亚接待了上百万难民，因此在边界地区武装匪徒活动猖獗，走私武器、贩卖毒品等犯罪活动不断，艾滋病广为流行,内战,0,847
这是近年来第一位访问朝鲜的非洲国家首脑,访问,32,921
结果他们调查，发现这些以尹清风命案相当笔录的影印本，都是从刑事局6年前的笔录正本转拷过来的,命案,1,1603
”２３日中午，记者接到一些村民的电话，上千名小学生仍没能进入校园,电话,15,614
杀人的杨姓少年稍候在朋友家中被警方逮捕,逮捕,27,343
新航空难事件今天在桃园的巨占体育馆举行了公祭，总共有18个国家好几百万罹难者家属前来祭拜，而行政院长张俊雄也率领多位的行政首长到场献花致意,前来,32,1195
警方发言人周二表示，甘达拉在被调查过程中表现不合作，警员已一再警告如果他不伏下，便会向他发射胡椒弹，但甘达拉没有听命，警员于是发射胡椒弹,发射,0,2193
但是会向前来日本的秘鲁国会调查委员会成员进行汇报,前来,32,1600
目前电影节组织机构已经建立，各项活动方案和内容也已确定，有关筹备工作正紧张进行并最后落实,建立,6,238
我真的去和老板辞了，老板屁也没放一个，当然钱也没给一文,辞,31,2027
这个委员会是在两国部长级会议进行了5天热烈讨论之后，宣布的一揽子计划的一部分,会议,21,1702
德国官员指出，施罗德不是作为“调解人”前往中东地区，因为这一作用非德国一国力所能及，但德国不能对巴以冲突“置之不顾”,前往,32,96
两人素不相识，依然是用手机联系，结果发现彼此相距不到5米,联系,15,433
”江现冰表示，在大陆与台湾的网路市场中排名二、三名的公司现在都会感受到这波的压力，因此网站公司会思考类似购并计划,购并,16,1873
离婚的原因，听说是一方想要孩子，而另一方对此不甚热心,离婚,9,1985
她被指控犯有间谍罪,指控,13,1588
军方人事调动引起许多猜测　这次印尼军方的人事调动引起许多猜测，特别是军人牵涉到雅加达过去两个月发生的一连串爆炸事件；警方在多方压力下逮捕大约30名嫌犯，包括两名军人涉嫌9月13日在雅加达交易所的炸案,炸案,0,495
在星期三的几次会谈上，以色列和巴勒斯坦安全指挥官同意采取一些措施平息冲突，以色列表示预计在48小时之内，停止巴勒斯坦境内的所有敌对活动,冲突,0,356
上诉书说，本案涉及宪法赋予选民的最基本权利，如果联邦最高法院不能作出阻止人工重新记票的裁判，那就可能给新总统的合法性带来问题，甚至造成宪法危机,上诉,8,1536
前几天他才刚满18岁，没想到他成年所做的第一件事竟然就是被捕入狱,被捕,27,1500
该报引用接近六方会谈的消息来源报导，北京在美国提供有关平壤核子计画的明确证据后，已改变立场,会谈,21,1926
当局表示这3个人被控在今年11月29号的议会补缺选举期间在马哈蒂尔总理的家乡卢那斯州闹事,控,13,1714
曾经陪伴了棒球迷们走过42个年头的台北棒球场正式的走入了历史，许多球员和球迷都赶来送行，而球迷们也走进球场当中带回了一把把的红土作为曾经在这里看球的永恒回忆,走进,32,1229
约旦是继印度之后第二个宣布从联合国驻塞维和部队中撤出其军队的国家,撤出,32,620
新华社成都１２月２４日电（记者任硌）今年下半年以来，四川省达州市公安机关集中开展的“打黑除恶”专项斗争，一举摧毁带有黑社会性质的流氓恶势力团伙５个，抓获涉黑违法犯罪嫌疑人１５６人,抓获,27,42
新华社新德里１０月１２日电（记者熊昌义）印度前总理拉奥１２日被新德里一家特别法庭判处３年监禁，并被罚款２０万卢比（４６卢比合１美元）,判处,22,1097
由于日本房屋防震性能强，目前尚没有人员伤亡的消息,伤,24,17
俄罗斯总统普京29号抵达法国首都巴黎，这是他就任总统以来首次以法国进行正式访问,抵达,32,336
因为马曾批评《反分裂国家法》，中央整体考虑，不准马英九来港,来,32,2182
每天进厂不着军服就要带证件，出厂如带东西还要让那些文攻武卫检查，特别是一个被我们称作白麻子的家伙，最可恶，一天到晚怀疑我们偷了厂里的东西,进,32,2035
北京市人民检察院第一分院检察官在法庭上提起的公诉中称，今年５月２１日２０时许，王祚聪携带提前准备好的匕首尾随束志梅,公诉,13,149
昨天中午香港特区行政长官董建华还设家宴款待了李瑞环一行,款待,21,1461
目前的最新消息显示她带儿子已经到了纽约，但一直没有公开露面，打她的行动电话也完全没有回应，不过可以确定的是有不少人透过语音信箱试图跟她取得联系,到,32,1710
巴拉克的政敌说，巴拉克辞职是为了避免同以色列前总理内塔尼亚胡竞争,辞职,31,1239
（伊斯兰堡路透电）巴基斯坦前总理沙里夫领导的巴基斯坦回教联盟的资深党员昨天说，目前正在服刑的沙里夫已同军人政府达成协议，承诺流亡国外至少10年，作为获得赦免的交换条件,流亡,32,760
据巴勒斯坦官员介绍，在以色列的军人纵容和协助之下，部分犹太定居者当天袭击了停放在加沙检查站以方一侧的巴勒斯坦运输车辆，给巴方造成很大的个人财产损失，当天西岸拉玛拉、西伯伦、那甫路斯等城市的巴勒斯坦人继续举行抗议示威，谴责犹太定居者日前绑架并残害一名巴勒斯坦人的暴行，数十名示威者在同以军的冲突中受伤,袭击,0,1463
一从非典疫区返宁的普通市民要求隔离检查竟然无望,返,32,1994
最后是由国军搜救中心出动了一架直升机，才顺利的将这4名船员运送到台北市的空军医院医治，目前这4名船员都在医院观察当中,运送,32,378
两位领导人强烈谴责以色列军队对巴勒斯坦人民的挑衅行为和血腥镇压，要求以色列军队迅速从它上月２９日以来占领的巴勒斯坦地区撤离,挑衅,0,1017
据新华社消息，经中共中央批准、中央纪律检查委员会对中央候补委员、国防科学技术工业委员会副主任徐鹏航的违纪问题进行了审查，徐鹏航同志做为党员、领导干部利用职务的影响帮助湖北康塞公司股票上市，支持参与亲属购买内部职工股，并从中获利１１３万元，数额巨大，其行为严重侵害了国家公职人员职务行为的廉洁性，造成了恶劣的政治影响，已经构成严重违纪，中央纪委常委会议建议中央撤消徐鹏航同志第十五届中央委员会候补委员职务，给予其留党察看二年处分，监察部已经报经国务院批准撤消徐鹏航同志国防科学技术工业委员会副主任职务,撤消,31,1154
苏里斯原本在初庭被判坐牢3年6个月和鞭打9下，可是他不服所判提出上诉要求减刑，结果是“自讨苦吃”，反遭大法官加重刑罚，改判所触犯条文下的最重刑罚，即坐牢7年和鞭打12下,判,22,593
这时候面朝深水路的帮凶，要求被害人帮忙丢一包水泥，并且趁被害人不备时拿出事先准备好的铁锤敲打被害人的头部，被害人不知倒地,敲打,0,1339
”正因为大陆“法轮功”学员人权受到严重迫害，这回法轮大法2000年的大会在台湾举行，希望通过练功以及和平游行等方式让全球的人士知道这些现象和事实，同时给予人道上的帮助,游行,10,1661
下午１３时３５分，一架银鹰徐徐降落在西宁机场,降落,32,812
根据以色列的法律，参加特别选举的候选人必须是议会议员，而内塔尼亚胡则不是议会议员,选举,17,1240
中国爱乐乐团是在中国广播交响乐团的基础上组建，直属于国家广播电影电视总局的国家级乐团,组建,6,1560
来自印控克什米尔首府斯里那加的消息说，克什米尔一个主要回教武装派别已经宣布对此次袭击事件负责,袭击,0,1047
Rosneft收购尤甘斯克付出了仅93.5亿美元，远远低于后者的市值,收购,2,1961
华融还将进一步加大依法诉讼力度，对债务企业分类排队并选择重点，有计划、分步骤地依法起诉，特别是对一些还债意愿差，有逃废债倾向的债务人重点进行诉讼追偿,起诉,8,560
冲突过后有4名男子被打得全身是伤送到医院急救，其中一名蒋姓男子因为伤势严重目前还在昏迷，员警赶到现场的时候打人的嫌犯已经一哄而散，警方在附近一共找到5枚弹壳，以及两颗子弹，其中还有一枚是几把霰弹，不过都没有枪支,冲突,0,1530
古斯曼遂于２１日宣布，定于本月２７日和２８日对皮氏进行司法盘问,盘问,29,739
南宁市中级人民法院确认，被告人佘国信身为国家工作人员，利用职务之便为他人谋利益，非法收受他人财物达１８８．５万元人民币，数额特别巨大，情节特别严重,收受,4,695
新华社济南１０月３日电（记者赵海波　张荣大）今天，中央领导同志集体会见奥运健儿，江泽民总书记发表重要讲话，山东各界对此反响热烈,会见,21,830
熟料话音未落，表姐要结婚了,结婚,5,2168
印度铁道部长班那尔及星期一呈请辞职，他说他要对星期六北部旁遮普帮火车失事的事件承担责任，有46个人在这次事故中死亡,辞职,31,1368
现年48岁的大内力育曾经是奥姆真理教俄罗斯支部的负责人，他被控于1989年同其他几名成员一道将一名试图脱离这个组织的21岁的成员谋杀,控,13,1666
泰国《亚洲日报》：东协10国加上中共、日本和南韩的非正式领袖高峰会达成电子框架协议,会,21,1266
此外，消息透露，目前担任大雅加达军区司令的吉比安多罗（Kirbiantoro）少将将升为武装部队总务参谋长，他的军阶因此上升为中将,升,3,497
去年３月，翁金顺伙同另外几名“蛇头”组织５３名偷渡人员从海上偷渡出境，登陆后被外国警方抓获并于４月２９日遣返回国,出境,32,579
合并计划最初在1997年提出，双方为了谁该主导新公司的问题而交恶，合并告吹,合并,16,82
说起澳门，人们自然会想到大三八、妈祖庙东望洋灯塔等等这些景点，这几天我们在澳门听到很多澳门人讲，现在来澳门旅游的人越来越多，在今年的旅游高峰期，很多酒店几乎是天天爆满,来,32,1855
以色列军队同巴勒斯坦枪手之间的猛烈交火，从4号晚一直持续到5号上午，形势仍然十分紧张,交火,0,1753
江泽民主席是今天下午结束对老挝、柬埔寨的国事访问乘专机抵达深圳的,抵达,32,1136
他A借了他600块钱,借,4,2137
继承自己父亲工运人士的身份，他今天前往国民党中央党部前面抗议，抗议主题就是有关于劳工工时案,抗议,10,1489
新华社平壤１１月２８日电（记者李拯宇　黄海敏）应朝鲜最高人民会议常任委员会委员长金永南的邀请，纳米比亚总统萨姆·努乔马２８日中午乘专机抵达平壤开始对朝鲜进行正式友好访问,访问,32,920
这场发生在10月31号造成82人丧生的新航飞安事故，桃园地方法院地检署不排除以“业务过失致死”起诉新航的3名机师,丧生,1,1483
据中国外经贸部的统计，到目前为止，在华设立研发机构的有美、日、德、法、加拿大、荷兰、丹麦、俄罗斯等十几个国家和地区,设立,6,1190
亚赫亚·德米雷尔和其他８名银行职员，上周末被送上安卡拉第一国家安全法庭受审,受审,29,163
这艘油轮在海上遭遇了暴风雨，而侵袭英法两国的这场暴风雨是10年来最强烈的，英法海峡的渡轮都被迫停驶，进港避风，而暴风雨在英国的陆地上也损毁了许多的房屋，影响了供电并造成部分地方淹水交通是一团混乱，英国现在已经有5个人死于这场暴风雨，而法国也有1个人,死,1,1759
德国警方表示，两列火车30号在靠近德国南部乌姆镇的时候相撞了，至少有32个人受伤,受伤,24,1735
许朝清毕业于交通大学研究所，现年28岁，受到轻伤的王贯仁则是毕业于辅仁大学，与许朝清在美国是同班同学,轻伤,24,1187
克林顿总统星期二会晤了他的国家安全顾问，讨论中东局势,会晤,21,1571
另外，在中国政府的带头号召下，中国民间也掀起了一场前所未见的捐款热潮，社会各界人士慷慨解囊，媒体上也充满了好人好事的新闻：在北京，一名78岁的老太太将手头上仅有的1800元人民币现金捐出；有81个贫困山区的小学生从拮据的生活费中每人拿出1元人民币，托老师寄给灾区；据说在辽宁的捐款者当中，还包括了不少失业人士和下岗工人,捐出,4,2117
条例规定，违者将受到开除公职和缴纳罚款的处罚，分析人士指出，由于非公职人员越来越多，条例的贯彻执行将遇到困难,缴纳,20,1236
日本大阪地方法院13号做出判决，要求以毫无科学根据的脚相诊断为手段，骗取钱财的邪教——“法之华三法行”对大阪府16名受骗男子赔偿1.1亿日元,赔偿,4,1422
新华社北京１０月１日电（记者李煦）北京天主教界１２０多人，今晨在中国天主教爱国会主席、北京教区主教傅铁山带领下来到天安门广场，观看了隆重的升旗仪式,来到,32,205
几个小时之前抗议民众冲进议会和国家电视台大楼,冲进,32,1848
这一水域已坠落了不少宇宙飞船的残骸,坠落,32,975
在驻伊自卫队遭受一系列火箭炮和迫击炮袭击后，日本公众对伊拉克安全局势更加关注，34.5%的人认为自卫队应在本月30日伊拉克大选后立即撤离,撤离,32,2049
赖昌星的远华公司被指控逃避关税，通过贿赂上百的省市级官员得到政府的保护并且通过威胁敲诈勒索其它企业或商人,指控,13,286
内情人士说，中移动考虑出价约18亿美元收购香港移动通信,收购,2,467
反正他们香港到澳门是很快的,到,32,1379
因为两派青少年闯入校园，竟然公然在大操场上面烤起肉来，有两名帮派一言不和，发生了冲突，造成一名少年当场被水果刀刺死,闯入,32,338
苏哈托是１９９８年５月下台的,下台,31,41
陈水扁总统就职后总统府8号首度开放民众参观,就职,3,1541
这次奥运健儿的表现为大家树立了很好的榜样，我们鲁能泰山俱乐部将认真学习江总书记在与代表团成员座谈时发表的重要讲话，在全体队员中开展向奥运健儿学习活动，用典型事例进行爱国主义、集体主义、革命英雄主义教育，让我们的球员有所触动，明确自己的义务和责任，卧薪尝胆、努力拼搏，争取早日提高足球运动水平，也能为国争光,座谈,21,832
德国专门就此同欧盟一些成员国以及美国和阿拉伯国家进行磋商，施罗德还特意为此同法国总统希拉克通了电话,电话,15,59
施罗德原计划率领一个庞大的经济代表团出访中东，只是因为那里的局势恶化而不得不临时改变计划,出访,32,70
发言人说，他不知道当局是否考虑赦免沙里夫,赦免,7,763
凌晨3点多这艘渔船在恶劣的海面中总算历劫归来，船长、轮机长经过长达10几个小时的囚禁与殴打身心受创，船长说大陆渔工想回家乡可是没想到他们竟然会用暴力劫船,暴力,0,333
巴沙尔此次出访活动的重要性还体现在时机的把握上,出访,32,185
乘坐大客车的警察强行进入这个地方以后，至少有一万抗议民众聚集在贝尔格莱德以南的特卢巴拉煤矿,进入,32,1302
“和平集团”主席阿夫内里说，以巴冲突爆发后，由于以色列政府动用坦克、导弹等重武器对付巴勒斯坦人民，至今双方伤亡不断，令爱好和平的人民深感失望,冲突,0,826
印度总理瓦杰帕伊还没有表示是否接受他的辞呈，下面请听美国之音记者迪波从新德里发来的报道,辞呈,31,1369
回公司，只得用我老爸给我卖的月票啦,回,32,2022
各国的捐款数额直线上升，据说已超过五十亿美元,捐款,4,1935
今年85岁的沙伯里1915年出身于纽约，50多年前一个偶然的机会使他来到中国，结识了他的中国妻子，开始了他与中国长达半个多世纪的情缘,出身,11,1620
事情的起因是一支牙买人左右的北约人维和部队，以搜查非法武器为由对三个塞族家庭进行了强行搜查，期间，维和士兵欧打了一名老人，并扣押了一个17岁女孩，从而激起了塞族人的愤怒,欧打,0,348
暴发海上谍嫌案的屏东东港籍渔船“天红玉号”在昨天晚上转抵了高雄,转抵,32,1203
最近她还参加了出访美国的残疾人艺术团，当时她声情并茂地朗诵了一首诗《我的梦》,出访,32,750
两名贩毒嫌疑人被当场抓获,抓获,27,232
拿起两公升装的啤酒罐和椅子，朝着被害人就是一顿猛打,打,0,1841
”　大法官却回说：“我不想等到下一次，我认为你是个危险人物，与一大群人到地铁站砍人，你现在的刑罚是不足够的,砍,0,601
俄罗斯石油公司尤科斯近日威胁说，如果印度石油天然气公司（ONGC）计划收购已经被俄罗斯政府拍卖、尤科斯的核心资产尤甘斯克的股份，就将对ONGC提起诉讼,诉讼,8,2141
我国从１９９７年开始纪念“世界动物日”，北京各界环保志愿者自发成立了民间环保慈善机构——首都爱护动物协会（英文缩写ＣＡＷＡ），积极开展各种爱护动物的公益活动,成立,6,14
倘马英九来港，成为传媒追访对象，内地为免生枝节，所以不准他来港,来,32,2183
新华社乌鲁木齐１０月８日电（记者孙彬）新疆维吾尔自治区党委、政府、新疆军区和新疆生产建设兵团的领导今晚在“奥运健儿祖国西部行”代表团住宿的宾馆会见了代表团成员，并同奥运健儿进行了气氛热烈的座谈,会见,21,740
叙利亚前总统阿萨德在执政近３０年后于今年６月突然病逝，使叙利亚提前进行权力交接工作，年仅３５岁的巴沙尔成为叙利亚新的最高领导人,病逝,1,274
新华社广州１２月２８日电（记者张朝祥）广东省华侨华人投诉咨询服务中心今天在广州挂牌成立,成立,6,53
美国随即宣布出兵干涉，并派海军舰队侵入中国的台湾海峡，刚刚成立不到一年的新中国出于国际主义原则和保家为国的考虑，毅然派出了自愿军入朝参战,侵入,32,1405
王国清在逃离现场后不久即被公安机关查获归案,查获,27,515
另一个激进派系回教圣战也号召支持者继续一个多个月的“起义”,起义,0,119
交接仪式后，４２名军警分别乘坐３架直升机飞赴桑坦德省省会布卡拉曼加,飞赴,32,176
新华社澳门１２月２０日电（记者杨国强、孙承斌）中共中央总书记、国家主席、中央军委主席江泽民今天上午在澳门会见了出席澳门回归祖国一周年庆祝活动的香港特别行政区行政长官董建华一行,会见,21,9
中国热持续升温，美林公司(MerrillLynch&Co.)紧随高盛集团(GoldmanSachsGroupInc.)和摩根士丹利(MorganStanley)之后，目前正就在中国组建投资银行合资公司进行谈判,组建,6,2237
"美国小组带领称旅行""巨大成功,""并且说看上去北韩在以后几周已准备好在汉城谈判",谈判,21,1953
１９９７年，王再海带领工作组翻山越岭，实地考察，走访了４００多户人家，帮助制订出《北峪村脱贫三年规划》、《北峪村经济可持续发展规划》，得到了地方党委、政府和军分区的肯定,走访,21,699
抗美援朝战争期间，志愿军涌现出30多万英雄模范和功臣，以及6100多个授予荣誉称号和立功的集体，有35万人荣获朝鲜颁发的各级勋章、奖章,战争,0,1692
结果昨天简义龙就假装要借厕所跑到女服务生的家里强奸对方,跑到,32,1863
有了这份文件，从１７日开始，朝邑镇开始对全镇５０００多名中小学生每人征收５０元的教师工资，并称凡不交款者不准到学校上学,征收,4,609
今天我大哥一个活生生的人就这样被逼死了，使台北市政府能够彻底的检讨，违建法规、改善基层人员执行公权利时的作业心态和恶劣作为,逼死,1,1284
到台北球场看一场精彩的职棒比赛曾经是台北市民们相当喜爱的休闲活动，不过如今只能在回忆里寻找了,到,32,1230
集会在与会人员齐呼“民族再统一，台湾再光复”声中结束，随后开始车辆游街活动,游街,10,792
努乔马将于３０日上午结束对朝鲜的访问,访问,32,924
走进这间不起眼的老房子，就是从日军时代开始已经三代单传的正岛番刀师傅，师傅姓陈，但附近居民都叫他华纳哲士，来买刀的原著民按闽南语发音把华纳叫成了番刀王，不管是华纳还是番师傅打出来的番刀的确有一套,走进,32,1552
雅奇省位在苏门达腊岛的北端，蕴藏丰富的石油，这项集会是为了要求就自治问题举行投票而发起的,集会,10,393
桃园市中国农民银行的门前一向是车水马龙，不过离奇的是上午竟然在它隔壁的防火巷里发现了一具死亡已经超过三天的男子尸体,死亡,1,1363
10号是这次示威大会的第一天，雅奇省的警方发言人估计有38万800千的民众参加，他们不畏铁丝网、枪击和军警所设的路障，由各地涌进了市区,示威,10,396
“我大哥郑侠东却被台北市政府占用公权利，拆除一个小小的公辽而逼死,逼死,1,1283
金龙局渔船星河发36号船上的大陆渔工前天挟持了船长和轮机长，企图把船开到大陆，海事处紧急的派出了船舰在海峡中间附近拦截到这艘渔船，并且将8名的大陆渔工带回来统统回押,开到,32,332
落网的两名锡克族男子，被控于1985年置放炸弹炸毁一架在爱尔兰上空飞行的印航客机，造成329人丧生，以及在东京暗置炸弹炸死两名行李处理人员,炸毁,0,1068
我算是土生土长的南京人，虽然父辈只是随部队南下才到南京，但我可是在南京出生，在南京长大的，除了在上海当兵的十年,到,32,1973
自从你去，老板就辞了两个农民工,辞,31,2023
以右翼反对党利库德集团领导人沙龙９月２８日强行进入阿克萨清真寺，从而引发了以巴流血冲突,进入,32,672
新华社耶路撒冷１０月８日电（记者戚德良）以色列北部的拿萨勒市８日晚发生流血冲突，当地一名以色列籍阿拉伯人在冲突中丧生，数十人受伤,受伤,24,891
示威者在清真寺院内高呼反以口号，并一度向清真寺西墙外的犹太教圣地“哭墙”和守卫在那里的以军警投掷石块，但没有造成人员伤亡,投掷,0,666
部长级会议是在平壤举行的,会议,21,1703
王祚聪在杀人后逃离现场，后被公安机关抓获,抓获,27,152
上午９时许，郑老在家人的陪伴下，乘车从天津市区来到大沽口炮台,来到,32,194
１０月１５日，为纪念冼星海９５周年诞辰而在“大三巴”举行的“黄河大合唱”大型露天音乐会，将把这届音乐节推向高潮,诞辰,11,748
这家电台在上个月对政府在广播方面的垄断地位提出挑战并且获得成功，警察以及中央情报部门的人员星期三突然进入哈拉雷这家电台并且破坏了电台的设备,破坏,0,1310
美国国务卿奥尔布赖特在结束了两天的北韩访问以后，星期三转往韩国，并且在首都汉城会见了日本和韩国官员，奥尔布赖特强调美国将和韩国和日本共同努力，寻求改善和北韩的关系，奥布莱特说我们的团结对未来要有所收获是至关重要的，我们三个国家必须平行展开和北韩的讨论，如此才能确保我们各自的特殊关注能够得到满足，奥尔布莱特呼吁美日韩三国加强合作，并且相互咨询，至于克林顿总统会不会在近期内访问北韩，奥尔布莱特表示他会在星期四返回华盛顿以后与克林顿总统讨论此行的结果以后再做决定，就在美国与北韩的关系随着奥尔布莱特国务卿的访问而逐渐有升温迹象的时候，韩国一些人士开始担心，北韩将利用和美国改善关系来牵制韩国，并推迟和韩国的对话，北韩在最近取消了和韩国针对离散家庭团聚的有关会谈，而韩国统一部长朴赛圭也透露，北韩在最近发给韩国政府的一封备忘录中希望汉城方面减缓双边会谈的步伐，备忘录称这是因为北韩欠缺会谈人员，希望在明年春天再开始进行协商，朴赛圭表式双方在烧岛前的部长会议上应达成了多项和平共识，包括国防部长会谈提升学术文化交流等，但是北韩要求将相关细节延到明年再讨论，虽然北韩政府表示缺乏足够的人员与韩国进行协商，但是北韩政府对于来访的中国国防部长迟浩田倒是举行了大规模的欢迎仪式，星期三北韩为迟浩田举办了和欢迎美国国务卿奥尔布莱特排场一样大的表演活动，这场活动也有意强调北韩和中国在50年前的韩战中共同对抗美国的战斗情谊，北韩领导人金正日在接见陈浩田时表示两国之间的关系是密不可分的，他同时强调的北韩愿意继续与中国在军事和政治上维持强而有力的关系，而在韩国金大中总统则把触角伸向国际贸易合作领域，金大中星期四宣布为了吸引更多的外资到韩国西南部的群山自由贸易区，韩国政府将免除外资在前7年的所得税和公司税，并且在接下来三年内减免这些税款的50%，群山自由贸易区的预定在2003年开放，届时在群山港将形成一个自由贸易区枢纽带，距离中国的两大港口上海和天津也非常近，金大中表示群山贸易区将成为东北亚与太平洋地区贸易的桥梁，同时也将成为朝鲜半岛上的中心地点，以上是美国之音记者郑玉文在华盛顿报道,访问,32,1915
另一个关于癌症的研讨会是“战胜癌症病痛”，来自亚太地区的专家将来新分享经验与交流意见，日期是10月21日，下午3时30分至5时，地点在国立癌症中心讲堂,来,32,781
历史悠久的东安会馆粤剧组的多名团员，月中启程赴中国广州参加“羊城国际艺术节”，呈献宫闱剧目《隋宫十载菱花梦》，并受邀到珠海、斗门等地作剧艺交流演出,赴,32,744
在实现两岸「三通」后，这条「高速公路」的一部分可能采用渡轮运送人流车辆的方式,运送,32,2047
国际狮子会代表团是应中国残疾人联合会和卫生部的邀请于１０月９日抵京，出席在北京举办的国际狮子会２０００年“世界视觉日”活动的,抵,32,867
结婚12年来，她凡事都尊重我弟弟的意见，绝对是个好太太、好妈妈,结婚,5,972
新华社重庆１２月７日电（记者程正军）我国五大啤酒生产企业之一的重庆啤酒集团今天成功并购重组了本市梁平双桂啤酒集团,并购,16,259
它的发言人对路透社说，该组织计划展开更多类似的攻击行动,攻击,0,1048
桃源警方巡宪在台北县新庄市丛林路将他逮捕，并且及时救出一名才14岁的被害少女,逮捕,27,1818
那天晚上10点多到哈尔滨车站的时候，人流滚滚从他身旁涌过，没有一个是他认识的...,到,32,475
而在一个仅有１６０多万市民，经常游泳者只有区区千人，游泳小时价仅为４到５元且并不富裕的城市，兰州室内游泳馆的发展速度大大超过居民收入的增长和消费习惯的改变，市场竞争必然迫使一些室内泳馆闭门歇业，也让一些淘金者的投资打了水漂,闭门,28,555
哈玛斯发言人扎哈指出：“我们不会终止起义，我们会加强活动，继续起义,起义,0,117
检察官说，他们希望正式起诉英国和欧洲官员，因为1989年，他们在国内禁止使用被疑受污染的动物饲料，但却允许英国继续出口这种饲料，他们还要对没有制止这种行为的法国官员正式提出控告,起诉,13,169
这批战俘于当天中午乘坐国际红十字会的一架包机离开阿尔及利亚西部城市廷杜夫前往摩洛哥西南部城市阿加迪尔,前往,32,587
不过他不改以前的本色，刚出了牢门口立刻开始大谈尹清风案的内幕,出,32,1430
访问宁边的美国专家表示，之前储存该处的钸废料已被移走,访问,32,2009
苏家的媳妇守在电视旁，因为家人都到了法庭外守候，她说公平审判是许多人的希望，但是对于被害人呢，吴明汉夫妇不幸惨死了9年，80多岁的老母亲上午戴上眼镜，她要看转播，而这一刻她要陪着孙子,审 判,29,1893
电视观众斥警员滥用武力当地电视台播出有关片段，显示甘达拉被射中胸部后双手掩面，但他还能背向警方企图离开，结果再被射了数发,武力,0,2196
阿布拉希表示，这次在穆斯林斋月期间释放摩洛哥战俘完全是出于人道主义目的,释放,14,588
不过根据警方和居民的报告，在全省各地又有5个人丧生，死的示威民众从8号开始班达雅奇集会以来的死亡人数增加到了31人,丧生,1,395
