,sentence,trigger,event_type,tag
403,"In an April 30, 2001, Washington Times column, Nat Hentoff noted that the media have devoted ""scant mention"" to the ""plain fact that it was Mr. Annan, when he was head of the United Nation's peacekeeping office, who could have prevented the slaughter of 800,000 Tutsis and their sympathizers in Rwanda in 1994."" It's true, Hentoff said, that the U.N. issued a report in 1999 that acknowledged, to some extent, its role in the killings. But for five and a half years, he noted, Annan ""refused to accept any responsibility for the Rwandan holocaust until Mr. Gourevitch and others revealed that less than 5,000 U.N. troops could have stopped the killings if Mr. Annan had not closed his eyes."" It is astonishing that a journalist for NBC New would close her eyes to Annan's role. But that is what she was apparently paid to do.",slaughter,0,1926
1330,"The first thing that needs to happen is that Bettman and Goodenow (the players' association rep) need to be fired, deported, flogged, tarred and feathered and finally forced to pay for four tickets plus a program, four dogs, four beers, and two cokes and parking to a game at an NHL arena for every day of the next season so they understand what the fans go thru to see a hockey game.",fired,31,1978
1112,"Martha should do a reality show. Take 10 contestants, and give them a situation: You have company coming over for dinner; You're hosting an open house; or, You're hosting a wedding reception. Then, she just ranks them and eliminates one every week. The stock would really go to the moon on that press release.",coming over,21,1982
567,And you pick up the phone in the embassy. A voice on the other end of the line says he's a scientist with NOAA and that a tsunami is bearing down on your coastal villages and resorts. Thousands could die. How would you react to such a call,die,1,1561
771,"The litigation covers buyers in auctions outside the United States between January 1, 1993 and February 7, 2000, and sellers between September 1, 1995 and February 7, 2000.",litigation,8,970
1423,"``They admitted to having nuclear capability and weapons at this moment,'' said Rep. Curt Weldon, who headed a delegation of U.S. lawmakers that visited Pyongyang for three days ending Sunday. ``They admitted to an effort to expand their nuclear production program.''",visited,32,1436
912,"we get thousands of e-mail from our viewers every day. here's what some of you are saying as far as our coverage of the top stories is concerns. william writes this -- please continue to write to us. we love hearing from you. just go to our website, cnn.com/wolf. we read all of your e-mail. much more coverage of the new iraq and",e-mail,15,469
873,"if she lied, then that is the obstruction of justice charge. that's the criminal side. that's where the prison time comes in.",charge,13,591
728,"Hanover, 53, is host of a syndicated television show, ``Famous Homes and Hideaways.'' Last month, she and her fiance  _  an old high school sweetheart  _  invited the press along as they went shopping for wedding bands, saying they are planning a wedding in the New York City area this summer.",wedding,5,1359
856,"a former fbi informant accused of being a double agent has been indicted. the charges against katrina leung are the latest in an alleged case of sex, spies, and international intrigue. charles feldman is in los angeles with details on this one.",indicted,13,518
429,"i want to apologize to the american people for clearly making a misjudgment over the weekend by giving an interview to iraqi television. now, i said in that interview essentially what we all know about the war, there have been delays in implementing policy, there has been surprises. but clearly by giving that interview to iraqi television, i created a firestorm in the united states. and for that i am truly sorry.",war,0,399
640,"Yeah. Seventeen people employed there.  Um -- predominantly Hispanics work in the kitchen area.  They're uh -- well, actually, you know they're some of my cake decorators in the bakery area too. They're it's it's predominantly a Hispanic run organization. I'm not Hispanic, but they uh I've hired uh",hired,3,706
742,"I got a sort of an icky feeling when I realized the only people who did attend the kid's wedding was his unmedicated bi-polar mother and his father, who suffers from Alzheimers.",wedding,5,1569
1519,The premier of the western Canadian province of British Columbia pleaded no contest to driving drunk during a Hawaiian vacation in January.,vacation,32,1223
20,"``Nearly everybody in Indonesia sees this Iraq war as completely unnecessary and there is widespread public opposition to U.S. policies,'' said Jusuf Wanadi of the Center for Strategic and International Studies in Jakarta.",war,0,1290
116,"it's so soon -- since nine eleven, and he has been creating his own job, i- in essence, because it's such a new position.  But, I think it's -- it would've been -- better to have one person -- like continuing that.  However,",nine eleven,0,716
990,9. Elections Did you vote in the recent US Presidential election,election,17,854
1154,"In meetings with South Korean officials, Wolfowitz urged them to increase military spending on new technologies and telecommunications equipment, as U.S. forces have done. South Korea earmarks about US$14.5 billion for its military.",meetings,21,1444
1525,"And you know what, they did a hell of a job for our country. And these bozos let four armed Cubans land on our shores when they're trying to make a high terrorist alert. Our president has put homeland security in the hands of failed Republican hacks. Hire professionals, Mr. President.",land,32,3
65,"Blair also pleaded the world to avoid ""endless diplomatic wrangles"" over the future of Iraq like the international dispute over a second UN resolution on Iraq that preceded the war.",war,0,1520
684,"Best-selling novelist and ""Jurassic Park"" creator Michael Crichton has agreed to pay his fourth wife 31 million dollars as part of their divorce settlement, court documents showed Friday.",pay,4,1060
654,"I started there, and we only had -- it was only like maybe thirty kids that that came to the -- to the uh community center.  But now we got seventy-eight.",started,3,697
1287,"You know, we're close to the trial so of course it's going to be in the newspaper every single day.  So, it's, you know, and the trial, the, um,  what is it called, the verdict, was actually read by audio over the ~TV. So it it's pretty ((depressing))",trial,29,774
89,"Australian commandos, who have been operating deep in Iraq, destroyed a command and control post and killed a number of soldiers, according to the country's defense chief, Gen. Peter Cosgrove.",destroyed,0,1217
733,"In court papers filed this week in state Supreme Court in New York, Welch requested a deposition next month of David Heleniak, a senior partner in the law firm of Shearman & Sterling in New York. He also wants to subpoena all documents maintained in Jane Beasley Welch's personnel file by Shearman & Sterling, a prestigious corporate law firm where she worked before she married Welch.",married,5,1229
56,"Here in Washington, members of the House of Representatives come together to support America's armed forces. Up next: a live report on that ceremony and the latest efforts to pass a spending bill to pay for the war.",war,0,285
265,"bringing you up to date on a breaking story out of the middle east. in gaza, a pair of israeli gun ship attack, aerial attacks that have threatened to derail the road map to peace, as it is called. in the first attack, a car carrying rantissi, a senior member of the hamas group, a militant organization, was targeted. he survived, with wound, but two people were killed. 27 others were injured in that attack. the second attack occurred after some rocket firings aimed, apparently, toward the israelis, apparently in retaliation. we're checking our facts on that one. that is just unfolding. the white house saying, and the president directly quoted as saying, he was deeply troubled by that initial attack. still no reaction to the second attack. the details on that still inconclusive. the president, quoted by ari fleischer, his spokesman, is saying he's concerned the strike will undermine efforts by palestinian authorities to bring an end to terrorist attacks and does not contribute to the security of israel. clearly some frustration with the sharon government in israel in the wake of these attacks in gaza.",attacks,0,598
1596,Your gran- you go to your grandma's house.,go,32,902
186,"Yet, analysts argued, both Britain and the United States hope their agreed vision of a postwar scenario will placate anti-war nations such as France, Germany and Russia.",war,0,1519
92,"good evening. welcome, everyone. mike galanos is off tonight. our top story -- eric robert rudolph has officially said he didn't do it. he pleaded not guilty to bombing a birmingham women's clinic in 1998. the suspected serial bomber appeared in a federal courthouse tuesday afternoon. he is also suspected in three atlanta-area bombings. north carolina authorities say rudolph opened up to them about his five years on the run. he says he hunted wild animals, searched the trash for food, and covered himself with leaves to make it through the winters.",bombing,0,341
1451,-Immediate withdrawal of US and Iraqi security forces from the Anbar governorate and the handover of security responsibilities to former army officers from Anbar.,withdrawal,32,1939
291,"In Montreal, ""Stop the War,"" a coalition of more than 190 groups, said as many as 200,000 people turned out, though police refused to give a figure.",War,0,1004
1324,"martha stewart is one of those stories that is in the news big time again. she resigned as chairman and ceo of martha stewart living, omnimedia, the company that bears her name. after pleading not guilty to a laundry list of charges brought by the justice department and the sec, insider trading, obstruction of justice, conspiracy to hide what they say is an illegal stock sale, we're talking about 4,000 shares of stock that netted her about $225,000. how does this compare with other corporate scandals",resigned,31,580
1297,"Ummm, am I the only one that learned anything from the Michael Irvin drug trial of the mid 90's",trial,29,1951
1123,"""It was useful to get it all out on the table and see where we go from here,"" he said, referring to the April 23 to 25 discussions in Beijing.",discussions,21,1077
257,"To put it simply (for your benefit): Lincoln spoke *of* God, demonstrating the irony of a war fought between people with more similarities (their religious beliefs among them) than differences. Dubya spoke *for* God, demanding that we should all fall in line behind him, because he's got The Plan, and God's On His Side. Pure religious jingoism.",war,0,1718
96,Solana said the EU would help in the humanitarian crisis expected to follow an attack on Iraq. The EU is set to release 20 million euros (US$21.5 million) in immediate humanitarian aid for Iraq if war breaks out and may dip into an ``emergency reserve'' of 250 million euros (US$269 million) for humanitarian relief.,attack,0,1202
551,"People died, people in prison without court, without trial.",died,1,255
304,"Prof Gary Mauser said that Britain was making the same mistake as Canada and Australia in focusing on legal owners - a section of the law-abiding community where gun crimes, such as the Dunblane massacre, were aberrations .",massacre,0,1783
1208,Laser beams can temporarily blind or disorient pilots and possibly cause a plane to crash.,blind,24,1908
891,"-- Bill ""20/20 Hindsight"" Asher",call,15,1563
1134,"``I don't think we'll discover anything, myself,'' Rumsfeld said at a meeting with Pentagon employees. ``I think what will happen is we'll discover people who will tell us where to go find it.''",meeting,21,1308
1150,"more than a million babies awaiting adoption in china today. a california family is now bigger by one. tonight they're welcoming little abby kramer in the world was anything but simple. her new mom and dad had to contend with international red tape, traveling thousands of miles to meet the new addition and cope with the sars crisis going on in china. their story is remarkable. thelma gutierrez telling the story of the kramers meeting kramer.",meeting,21,630
1477,reporter: still they have concerns. they're heading to quinn joe.,heading,32,632
570,My question is not who votes at the U.N. Who sends troops to die on our side,die,1,101
1164,"TV2, quoting Toefting's lawyer Anders Nemeth, reported that that 33-year-old midfielder was ready to serve his sentence immediately.",sentence,22,1252
5,"now, you are expert of preemptive strike...LOL",strike,0,1745
819,"Organisers claimed that some 250,000 people attended the rally, creating a human column some three kilometres (1.8 miles) long. Police put the attandance at around 125,000.",rally,10,986
1183,"The court ruling stated that the verdict and sentence would be submitted to the National Press Council, a government-appointed body, for approval, Ngor said.",sentence,22,1383
1528,"we're coming up on 23 after the hour on what is shaping up to be a busy day here. but a joyous day for 5,000 sailors and marines and friends and family in the san diego, california area because the giant u.s. carrier constellation is now returning home from the war in iraq. frank buckley is in san diego and joins us now with the latest scenes from there and the live pictures. hi, frank.",returning,32,570
576,The Food and Drug Administration is considering whether to make morning-after birth control available without a prescription. The FDA may decide as soon as this week whether drug stores can sell the emergency contraception known as Plan B without a prescription to women age 16 and older.,sell,2,1822
336,"we'll talk with a terror expert about that, and iraqi deserters on the northern front. ben wedeman has their story why they're no longer fighting for saddam hussein and don shepperd is going to answer some of your questions as he looks at the battle hot spots. now let's go back to wolf blitzer in kuwait city for more special coverage of the war in iraq.",fighting,0,395
275,"And, says the Iraqi opposition, in winning this war. Brent Sadler, CNN, near Kirkuk in northern Iraq.",war,0,187
1129,"US President George W. Bush told Canadian Prime Minister Jean Chretien by telephone Monday that he looked forward to seeing him at the upcoming summit of major industrialized nations and Russia, the White House said Tuesday.",summit,21,1124
704,"Cash received: $67,814.09",received,4,1864
1344,"Welch also wants details on Jane Beasley Welch's salary, benefits, retirement plan and other compensation paid to her.",retirement,31,1231
1353,"welcome and good evening, everyone. mike is off tonight. to our top story of the evening -- martha stewart is stepping down as head of her media empire. she announced her decision to vacate her post as chief executive of martha stewart living omnimedia, following word of a federal indictment. in a statement, she says she's stepping aside in the best interest of the company, but she will stay on the board of directors. stewart pleaded not guilty to a nine-count indictment. the charges include conspiracy to obstruct justice and perjury connected to an insider trading scandal. the government also filed civil charges against her. she is charged with using insider information to bail out of a biotech stock the day before its price tanked, and then trying to cover it up. her stockbroker was also charged. if convicted on all counts, stewart faces up to 30 years in prison and $2 million in fines.",stepping down,31,342
492,"News reports suggested that the woman may have been a suicide bomber or may have died when the bomb she was planting exploded prematurely, but police and interior ministry officials refused to confirm the reports.",suicide,1,1407
1556,"The answer to that could well decide how quickly they make a final push into the city. James Mates, ITV News, with the U.S. marines, south of Baghdad.",push,32,217
1009,"In addition, they are restricted from moving freely in their own country and/or their own city, would that not restricted their election related activities",election,17,1734
1566,"The first sizable relief convoy arrived in Iraq during a sandstorm Wednesday as allied forces struggled to clear the way for more aid shipments, using dolphins to remove mines from waterways and hunting Iraqi fighters around the port of Umm Qasr.",arrived,32,1235
1235,"Police also arrested two Moroccan men suspected of trafficking in human beings and navigating the Zodiac boat across from Africa, Efe said.",arrested,27,1375
1386,"Staff reductions were clearly in the works pending system changes that would be facilitated by any move, Miami, PBG, Crossville or elsewhere. To make the staff cuts without the system changes was absurd and probably the reason for McCrary &Camaratta's departures.",cuts,31,1692
1545,NASA revamped its Mars program after the failure of two unmanned missions to Mars four years ago.,missions,32,1467
1080,"Weldon's comments echoed those of U.S. officials following talks in Beijing in April. They said that North Korea claimed during a pause in the formal talks that it already had nuclear weapons, but would give up the program in return for economic aid and security guarantees.",talks,21,1437
1329,"Former Senator Chuck Robb hasn't been heard from lately. Parade magazine reminds us today that he's a co-chair of the Commission on the Intelligence Capabilities of the United States Regarding Weapons of Mass Destruction. They will report on March 31. I suspect Rob will speak out after that date, although much of the Committee's report will be classified.",Former,31,1876
803,"One woman marched topless with the words ""shock and awe"" daubed across her back in red ink, a reference to the bombing campaign unleashed Friday on Baghdad.",marched,10,990
415,"I did. I shot down four more MiGs. And I often told myself -- I said that, if I ever get used to this, I shouldn't be here.",shot down,0,115
967,"So the standards are: Any old process halfway resembling an election is just diddly dandy in Iraq, but we won't accept the results of a free and fair election in Washington State because there may have been a human error rate of 0.0000001 percent. In Washington State, the election has to be not only free and fair, but also ""perfect"". (Of course, the Republicans would have thought the WA State election *was* perfect, had their candidate held the same 100 and some vote margin when all the smoke finally cleared). Funny how the standards change, and so easily, depending on agenda.",election,17,1677
1271,"South Korea's ruling party is facing an internal reformist call for dissolving itself to create a new group after a humiliating defeat at last week's by-elections, party officials said Tuesday.",dissolving,28,1079
1435,"Thursday, July 7th - Leave Niagara Falls and drive to Red Bank, NY - 435 miles - Stay in Red Bank for the night - We want to hit-up Jay and Silent Bob's Silent Stash",Leave,32,1712
462,"Oh, I'm sorry to hear that.",that,1,805
713,"The payment, if approved by the courts, would settle a slew of suits by clients over auctions held between 1993 and 2000 outside the United States, it said in a statement.",payment,4,967
596,reporter: had sold oconer the rifle a few months before.,sold,2,517
933,"reporter: then the baby's mother made a frantic call to police. while she was on the phone, police say williams picked up the child again and this time, threw her out the window. then police say the baby's mother pulled out a kitchen knife opinion on the 911 tape you can hear williams tape say ""go ahead kill me."" still bleeding, he ran downstairs and scooped up the baby and took the baby to the hospital. police were on his trail and found williams and the baby at mem norial hospital where",call,15,362
1132,"Erdogan said he would submit his Cabinet list to the president ``as soon as possible,'' and leaders of Erdogan's Justice and Development Party met Tuesday evening.",met,21,1186
136,"We came in firm, we came in fair. There was no shots fired. We gave a good warning before we came in. We've been playing warnings to people to stay in their houses, and we've only lifted those people we've got very good intelligence on.",fired,0,226
1389,"Okay.  Yeah, I did go through -- West Virginia, one time through -- from Pittsburgh. I had relatives that lived outside of Pittsburgh, once, and I went to Florida from there, so I did go through West Virginia.",go,32,691
242,"Well, they're very well equipped. Definitely put up a fight. Rocket-propelled grenades. Been finding a lot of these lately. These could take out a Jeep or a Humvee in a heartbeat.",fight,0,240
1431,complete relief. they were headed home.,headed,32,572
923,"The text at the bottom reads, ""Not authorized by any candidate or candidate's committee. A political public service message brought to you by Clear Channel.""",message,15,1566
199,Putin concluded his two days of talks in Saint Petersburg with Jacques Chirac of France and German Chancellor Gerhard Schroeder on Saturday still urging for a central role for the United Nations in a post-war revival of Iraq.,war,0,1029
1163,They also said that the EU was closely following the nuclear issue and would revert it to the forthcoming debate of the IAEA meeting on Tuesday.,meeting,21,1549
31,"At least three members of a family in Indias northeastern state of Tripura were hacked to death by a tribal mob for allegedly practicing witchcraft, police said Thursday.",hacked,0,1034
262,This was the most vicious and blatantly dirty play I have seen in the NFL since Jim McMahon was body slammed to the ground in the mid 80's about five seconds after he had released a pass. And Jaguars coach Jack Del Rio and Darius had the nerve to vociferously argue with officials about Darius' ejection from the game.,slammed,0,1964
1290,"Yeah, we're a pretty small town, so our newspaper covers it a lot. Still do, I'm kind of sick of hearing about him, but -- e- hopefully this'll be the end of it.",it,29,770
854,"Amid the financial storms last year and the ensuing cracking down on corporate malfeasance, Waksal pleaded guilty in October to charges involving his efforts to sell a huge block of his company' s stock in late 2001.",charges,13,1547
968,"PSD is building a strategy for the 4 years to come and they are going to elect a leader. It is known that communist leaders die in office (as judges of the U.S. Supreme Court) and Ion Iliescu won't be different. All the leaders that expressed different points of view will be excluded from the party, that's the untold truth that Romanian media seem to hide or not conceive yet.",elect,17,1934
591,"Yet, Washington maintains a 12-year ban on arms sales to the world's most populous Muslim nation with the aim of curbing human rights abuses still happening despite momentous political change.",sales,2,1284
335,You come to expect everything in war fighting. The coffins were there. It was a bit more of a surprise when I discovered the bags with the human remains inside.,war,0,238
495,"You know, if he if he made peace he had factions of his own people that would've killed him -- and if he didn't make peace, eh, then he's considered, you know, the the warmongering, uh, man who won't make peace, you know.  So, he, uh, he couldn't really win. I don't think he could make peace.  I don't know if anyone else can, either.",killed,1,878
664,The truth seems to me that the Israeli government got panicked when Saddam announced that he would reward the families of Palestinian suicide bombers with some 10 thousand dollars.,reward,4,1747
339,"Less than 20 minutes later, with Iraqi defenses pounded by the bombing, they no longer held the bridge over the Khoser River. In this vehicle, the only Iraqi casualties we saw. Their military radio and guns indicating they were combatants. (on camera): It's still smoldering, this truck with three Iraqi soldiers. It was either shelled or bombed. Now, it's a small part of this battle for the bridge just behind us. These were lying on the ground next to the truck. Somebody picked them up. It's an I.D. card, presumably for one of the soldiers. The only thing you can really tell from it is that he was 27 years old. And a snapshot from when his life was still ahead of him. Other evidence of a hurried retreat amid the smoldering vehicles, a discarded gas mask. Military documents. Notebooks with verses from the Koran. Kurdish fighters planted their flag and left it waving in the smoke of the bombed-out Iraqi truck. The village of Manguba (ph), just 32 kilometers, about 23 miles from Mosul is now in Kurdish hands. One Kurdish soldier did the honors of tearing up a poster of Saddam Hussein. Not just the poster, but the frame and cardboard backing as well. They've been waiting a long time. Jane Arraf, CNN, on the bridge over the Khoser River in northern Iraq.",shelled,0,221
1422,"Therefore, on August 20, 2003, bravely Beatriz walked into the USCF Offices in New Windsor and immediately fired 17 staff members. John McCrary resigned from the board as a result.",walked,32,1685
608,"Well, um, where they were going to, uh, give them, like, ninety-six percent of the Ga- of- of Gaza and he said that he wanted all hundred percent.  And so he refused to sign it. It was just an- an incredible faux pas on his part, from my opinion.",give,2,820
1442,"Yeah. Yeah, you had to cross a little walking, swinging bridge to get to this man's house, you know. I didn't like that part.",get to,32,918
1445,"a father in new york is accused of dropping his baby out of a seven- story apartment window, here's jordena ginsberg with more from affiliate news-12 westchester.",dropping,32,355
867,Chiluba faces 65 counts of theft including that of 15 billion kwacha (US$3 million) in cash from the Zambia National Commercial Bank in Lusaka.,faces,13,1281
1397,"They also deployed along the border with Israel. The handover is a credibility test for the Palestinian Authority, which must show it means business when it comes to reining in hardline groups plotting attacks on the Jewish state.",deployed,32,1147
1444,"while some of these ladies and gentlemen are going to be joining their families half of them are going to stay on board because this -- the ""lincoln"" is going to be docked in everett, washington. that's where the home base is. it's going to have to make a trip up the coast.",trip,32,495
1568,"Um, actually, usually we're out of town so we don't attend our church.",out,32,901
6,"The move marked a huge step forward in carrying out the US-backed Middle East ""roadmap"", which aims to end the months of bloodshed and create a lasting peace between Israel and the Palestinians.",bloodshed,0,1145
872,"``The matter is before this court and whether an accused person wishes to request for an adjournment or they wish to be absent for any other reason, such a request must be done here,'' said Magistrate Christopher Shacifwa.",accused,13,1280
1555,"she cooks for us. I used to do that and now she's took over, which I'm so happy.  Uh, yeah quite a few. My kids, uh, kids and their kids come, all but one of them.",come,32,909
