tag,sentence,trigger,event_type
13,"Now, Bob, come on you don't really buy this. I mean, listen, this is the oldest trick in the book. You can have a general question like this that could mean anything and ask people and they give you what comes off the top of their head. But, ask them another question, ask them what they think about spending $1.3 trillion in destroying this economy. Ask them about going and not just a war, Bob, but an invasion and occupying for up to 10 years a sovereign Arab nation in the midst of one of the most distable and volatile regions in the world. Ask them how they feel about getting bogged down. Well, I've seen some of the figures. Once you start telling Americans the story, -- the administration refuse today tell us story. They're not coming forward and telling us what the risks are, what the costs are, how many years we might be in, the possibility of us getting bogged down, because what Americans know that, they're opposed to this war. The more they learn about this invasion, the more they learn about this occupation, the less they support it.",war,Attack
14,"That's going to have to be last war, unfair and unfortunate as that is, I am sorry, they're telling us we're out of time. Former Congressman, Bob Dornan from California...",war,Attack
15,"Time for ""Fireback,"" when the viewers fire back at us. Joshua Hosford of Newport Beach, California -- that would be nice in this weathers -- ""Paul, I guess we're going after all. Case in point, Khalid Shaikh Mohammed. It's amazing how someone can actually do two things at once. I'm chewing gum and talking on the phone while writing this note."" Joshua, you couldn't have said anything better. In fact, I've already said it.",talking,Phone-Write
16,"Well, in fact, our allies got Mr. Mohammed along with us. We need allies. And Bush is so far angered every ally we have. Dan Snyder of Baden, Pennsylvania writes, ""Bush should torture the al Qaeda chief operations officer. Bush has been torturing Americans for two years. Why should this guy get preferential treatment",torture,Attack
17,"OK. The next comment is from Frank Mastro of New York City. ""Mr. Novak, I don't understand the problem. If the budget goes through as is, why don't Mr. Begala and Mr. Carville just donate the extra tax money they don't want",donate,Transfer-Money
18,"I'll donate to the Democrats. They'll defeat Bush and everybody will get rich. That's a better strategy. David Horn of Long Island, New York, writes, ""How can Bush say he's for democracy",donate,Transfer-Money
19,"He had to sue to become our president, and he keeps trying to bribe other countries' democratic governments into his supporting his agenda. Where did he learn to govern, 1930's Chicago",sue,Sue
20,"Hi. I'm Paul Avalar (ph) from Tempe, Arizona. I had a question also about Khalid Shaikh Mohammed. And now how are people going to argue that the U.S. can no longer both fight a war with Iraq and also fight terrorism, specifically al Qaeda",war,Attack
21,"Look, we need allies to catch these guys. We got him because the Pakistanis got him. We didn't get him. We go to war in Iraq, 200,000 people start protesting in Pakistan, they put too much pressure on the government. It becomes impossible for those governments to cooperate with us like they're cooperating now. We go to war in Iraq, it would be the worst thing we can do...",war,Attack
22,"No. What I can't stand is a president who is going to screw up our war against terrorism when I thought that was his job. From the left, I'm Paul Begala. Good night for CROSSFIRE.",war,Attack
23,"Welcome back to CROSSFIRE. President Bush today renewed his call for a $250,000 cap on pain and suffering damages from the victims of medical malpractice. Ironically down in North Carolina today was also the day funeral services were held for 17-year-old Jesica Santillan, the brave young woman who got the wrong heart and lungs in a botched transplant operation last month. Is her family's pain and suffering only worth $250,000",damages,Fine
24,"Here to debate medical malpractice reform are consumer advocate Ralph Nader and Dr. Donald Palmisano, the president-elect of the American Medical Association.",elect,Start-Position
25,"Another one of your leading questions. This is a medical malpractice crisis. Over 80,000 Americans, 220 every day die from medical negligence, hundred of thousands are injured. And the insurance companies which had relatively steady rates on doctors for about 10 years have found its investment income, its interest income, the stock market collapse down. And so they're jacking up the rates on a few key specialties like obstetricians and neurosurgeons. But if you take the entire amount of premiums, Bob, that's paid by doctors in this country to malpractice insurers and divide it evenly, they'd be paying less than $9,000 each. That's one-third of what they pay a receptionist.",die,Die
26,"That runs against the fact that so many of them are just leaving their practice because they can't afford it. You know, Ralph, you and I often agree on some things and one thing I think we agree on is the dirty effect of money and politics. Can you say that the lawyers, the trial lawyers who appoint millions and millions of dollars into Democratic coffers in order to keep this, do you believe that this is healthy...",leaving,End-Position
27,"Well, as much as they've poured into those coffers, it's much less than what the doctors, the malpractice insurers, the hospital chains and the HMOs and the nursing home chains have poured into members of Congress' coffers. This is first and foremost, Bob, a question of equity. Are we going to allow severely injured people who have found a lung taken out that's the wrong lung or a double mastectomy that wasn't indicated that was inflicted on a woman in the Midwest, or that organ transplant that was incompatible on that 17-year-old teenager in North Carolina. Are we going to say to these and so many others, you can't have your full day in court",poured,Transfer-Money
28,"There was a hear on Capitol Hill today. And, I want to ask you to respond to one of the witnesses, John McCormick testified today. He's the father of a little girl, 13-month-old girl, who he said today died because of medical malpractice. He said that the hospital ignored abnormal CO2 levels in her blood. Said that the attending physician had slept through several pages. She died awaiting surgery. Listen to what Mr. McCormick said and I'll ask you to respond.",hear,Trial-Hearing
29,"You know, Mr. Bush -- President Bush says these guys have won the litigation Lottery. Does that look like a Lottery winner to you, holding a picture of his dead baby",dead,Die
30,"Well, the current medical liability system is affecting patients in that they can't get access to care. The American Medical Association works very hard to make safety a priority in the medical care system. That's why we founded the National Patient Safety Foundation. The current system doesn't measure negligence. It measures disability. And what we're finding now is that the emergency rooms are closing, trauma centers are closing, pregnant women can't find a doctor to deliver the baby, a boy knocked unconscious has to be transported to another state. Another witness today told of what happened to her husband because there were no longer neurosurgeons available in the community. The patient had to be airavacked and by that time it was too late to prevent the brain damage.",closing,End-Org
31,"But I wonder if you can respond to Mr. McCormick's point. Who are you, who's our president to tell him that his suffering is only worth $250,000 for the loss of a child",loss,Die
32,"Well, what has to be done here is balance. What we need is a system that's fair to everyone, a system that keeps the physicians in practice and allows patients to have access to physicians in their hour of need. And the system in California that's in the bill, in Congress now, HR-5, that's a system that has worked. It brought stability to California and obstetricians in California will pay 55, 57, $60,000 in Los Angeles and in South Florida in Miami, they'll pay $210,000...(CROSSTALK)",pay,Fine
33,"Because in California they have regulated the insurance company premium levels. And in Florida, they've been very weak on it. And in some states, for example, there are doctors that are -- you know, there are 45 payouts in ten years and they're not disciplined by the state medical board. I mean, you've got 5 percent of the doctors accounting for over 55 percent of the payoffs, Paul. In other words a small percentage of doctors that are bad, incompetent, indifferent, whatever. They're not performing properly and the AMA is not cracking down, is not supporting expansion to state licensing...",payouts,Fine
34,"I want to respond to that. The National Practitioner Data Bank is the source of the information and it was brought up today. First of all, the Government Accounting Office criticized the methodology used. It lists multiple claims against one physician when actually it's really one claim, different insurers pay on the same physician and it's counted as one claim. It doesn't mention whether they are obstetricians, neurosurgeons or emergency medicine. It doesn't list that. Right now in South Florida, in South Florida, the latest poll shows that every neurosurgeon has been sued. The average number of suits against a neurosurgeon is five in South Florida. Now are these bad doctors",claims,Sue
35,"Welcome back. Both the AMA and the Bush administration released reports this week saying out of control trial lawyers are driving doctors out of their practices all across the country. President Bush points this way today, even the most frivolous of lawsuits cost money, premiums go up and either way, the patient pays. We're debating malpractice reform with consumer advocate Ralph Nader, and AMA President-Elect Dr. Ronald Palmisano.",driving,End-Org
36,"Dr. Palmisano, again, thanks for staying with us through the break. Let me set aside the hypocrisy of a man who became president because of a lawsuit trying to eliminate everybody else's lawsuits, but instead focus on his own experience. He was the governor of my state of Texas, where there are a whole lot of doctors. It turns out that he didn't do any kind of a job policing your profession at all when he was the governor of Texas. Here's what the ""Dallas Morning News"" reported recently: ""The Texas State Board of Medical Examiners, the agency that pledges to protect the public has granted second and third chances to surgeons who are thrown out of hospitals because they botched operations. It has forgiven physicians who overlook cancerous tumors, who maimed infants or whose mistakes left women sterilized. It has refused in the last five years to revoke the license of a single doctor for committing medical errors. Thousands more may have been ignored over the last decade."" That is the Bush record in policing surgeons, why should we trust him now",lawsuit,Sue
37,"Sure. What we need to do is to make sure that state boards, number one, have adequate funding. The AMA supports that. If there are any bad doctors we want them removed from the practice of medicine. But it's also...",removed,End-Position
38,"Well, it's also unfair to make a judgment without knowing all of the facts of the case. Because someone pays money in a case, the insurance company may pay money because they're afraid there's is going to be a giant award in this case because of this broken liability system. Troy Brennan (ph) of Harvard said there's no correlation with negligence, only with disability. So let's look at all of the facts, but give everybody due process here in America before we criticize.",pays,Transfer-Money
39,"Actually, Troy Brennan, the same doctor at Harvard Public School of Health said the issue is not to fuel lawsuits, it's too many. Less than 10 percent of the victims of medical malpractice, and we're talking about horrific injuries here, even file a claim. Even file a claim. And the entire pay-out to all of the victims that get a little money, not the 90 percent who never file a claim, amounts to less than what we spend on dog food. On dog food. It's about $5.4 billion is the pay-out. That's a fraction of physician income. It's a fraction of the health care expense of 1.4 trillion.",pay-out,Transfer-Money
40,"Doctors are leaving practice because of insurance premium, right",leaving,End-Position
41,"... payoffs have been stable, adjusted for inflation, National Practitioners Databank (ph). Why do you want that to be secret",payoffs,Transfer-Money
42,"Well, let's look at what the president is actually proposing for people who have been harmed by a bad doctor. Let's listen to what he said to the AMA today.",harmed,Injure
43,"If harmed by a doc, they ought to be able to recover their economic costs, economic losses. They should be able to recover non- economic damages as well. But for the sake of the system, non- economic damages should be capped at $250,000.",harmed,Transfer-Money
44,"Tell someone who had a double mastectomy, tell an infant who's brain-damaged and has no economic loss that for the rest of their lives they're going to get dribbled out $250,000 for their entire life expectancy",dribbled,Transfer-Money
45,"In California where they have this law, it caps the non-economics, the ones you can't quantify. There are awards in 10 million, 20 million, $30 million in California for economic. So all medicals, all rehabilitation, care services in the home, lost wages...",awards,Transfer-Money
46,Seventy percent of the cases filed are told there's no payment. What kind of peer review is that,payment,Transfer-Money
47,"Welcome back to CROSSFIRE. Over in Iraq, arms inspectors are discovering and destroying missiles. Spy planes are searching for more banned arms, and Iraqi scientists are being interviewed by U.N. weapons inspectors. But here in Washington, President Bush says it's all a hoax, and many believe he has already made up his mind to go to war. Back with us to talk about it, two Congressmen: J.D. Hayworth, the Republican from Arizona, and Bernie Sanders, an Independent from Vermont.",war,Attack
48,"Congressman Sanders, you're opposed to this war. I'm not crazy about it myself. But I want to ask you a question. When the guns begin to fire, when the American men and women are in harm's way and may be dying, is that now the time for you and your allies to shut up and support the troops",war,Attack
49,"Well it's not -- are you suggesting that when tens and thousands of Iraqi women and children are killed, and when young men and women in this country are unnecessarily put at harm's risk, what should we do",killed,Die
50,"The answer is, these are my neighbors from Vermont and obviously we're going to support them. And obviously we're going to pray that there's fewer casualties...",casualties,Injure
51,Are you going to demonstrate against them in the streets,demonstrate,Demonstrate
52,"No, I don't demonstrate against anybody during a war. But let's be clear. The president almost unilaterally is putting us in this position against world opinion.",demonstrate,Demonstrate
53,"No, it's so important -- you know this -- and I know it's fun and we love doing partisan Punch & Judy, but is there ever a time when we stand up even if we respectfully disagree with the commander in chief and those who would wage war",war,Attack
54,"What I do know is Saddam Hussein has butchered over a million of his own citizens. And to somehow try to play partisan parlor games may be cute, but we are dealing with a clear and present danger.",butchered,Die
55,"Furthermore, the United States supported him in the war against Iran.",war,Attack
56,"What we're talking about is the unpredictable nature of war and what could happen in this war. For example -- wait a second -- in Iran, the reason that you had Ayatollah Khomeini in power is he overthrew the Shah. You who put the Shah in power",war,Attack
57,I want to get to that point. But the problem with Khomeini was that the guy who he overthrew was put in power by the United States. I can't quite figure that out.,overthrew,Attack
58,We overthrew (UNINTELLIGIBLE) and put the Shah of Iran in power. Everybody knows that. The CIA did that.,overthrew,Attack
59,"But I mean you're attacking the CIA for putting him in, when it was -- the problem was Khomeini.",putting,Start-Position
60,You're talking about blowback. You don't know what happens when the most powerful nation on Earth invades and occupies a Muslim nation and kills tens of thousands of people.,invades,Attack
61,"Hi. I'm Christa Demore (ph) from Monrovia, Maryland. And I'm curious, how can Democrats claim that President Bush is ignoring the war on terror if al Qaeda's second key operative was just caught",caught,Arrest-Jail
62,"He cannot eat a pretzel and watch a football became at the same time. So I'm still doubtful of -- no, here's why. This is a serious point and you deserve a serious answer. The way we caught that guy was by coordinating with our allies. We now have a foreign policy in Iraq that is putting enormous strain on those allies. The same weekend they arrested the guy, we had...",caught,Arrest-Jail
63,We had no part in it.,it,Arrest-Jail
64,"No, it was a joint effort by Pakistan. Why do we want to sever that relationship with this idiotic war in Iraq",it,Arrest-Jail
65,We never have conservatives in the audience. There's no question. I think even Paul would agree with me. The question of whether we go to war or not is strictly a national question. It's not a United Nations question.,war,Attack
66,"Hello, everybody. Welcome to CROSSFIRE. On this Ash Wednesday, the pope asks Catholics to fast for peace and he asks President Bush to work for peace, while the White House sends out Colin Powell to make yet another case for war. We will debate all of that as well as ""Vanity Fair""'s latest, stunning revelations about Michael Jackson. Believe it or not, we got new news on Michael Jackson. Do you think he really looks like a mummy",war,Attack
67,"Certainly not a daddy. But first, our own little moonwalk across the political landscape, the ""CROSSFIRE Political Alert."" The foreign ministers of France, Germany and Russia today issued a joint declaration that they will not allow a second American-backed resolution to pass the United Nations Security Council. President Bush wants the Security Council to explicitly authorize force against Iraq, and his press secretary today remained optimistic that in the end, that's just what he'll get. President Bush is said to be focusing on one fence-sitting Security Council member, the African nation of Guinea, because he said -- quote -- ""I used to have one of their pigs."" So -- OK, I made that up. He didn't say that.",force,Attack
68,"As is Cameroon. France and Germany are pointing to inspection and saying, Look, they're working. We don't need war. They're not pointing out that inspections are working only because there's the credible threat of war. Saddam wouldn't be destroying missiles unless he thought he was going to be destroyed if he didn't.",war,Attack
69,I think that's a good point. It doesn't mean we have to go to war. But I think President Bush should get credit for pushing to instructions and backing them up with the threat of force.,war,Attack
70,"It means when you take the threat of force of the table, you're likely to stop disarming Saddam Hussein.",force,Attack
71,"Yes, I'm not saying take the threat of force. I'm saying we don't need to use force right now.",force,Attack
72,"Well, France and Germany would like to. Secretary of State Colin Powell today responded to Saddam Hussein's latest attempts to fool the world. Powell called Iraqi steps toward disarmament -- quote -- ""too little, too late"" gestures, meant to split international resolve to force Baghdad to give up its weapons of mass destruction. U.S. intelligence said Powell indicates Iraq has hidden equipment to produce al-Samoud 2 missiles, even as it destroys existing ones, missiles that until recently, it claimed not to have. Powell also revealed that Iraq is hiding chemical and biological weapons in poor neighborhoods around Baghdad. In order to secure peace, Powell concluded, the international community must confront Saddam Hussein's refusal to disarm -- quote -- ""here and now."" So, there you have it. The essence of the American case for war against Saddam Hussein. The only question left: who do you believe",war,Attack
73,"Well, those of you who still believe the myth of the liberal media should consider this: MSNBC, an obscure cable channel, has fired Phil Donahue, the host of its highest-rated show. A memo from inside NBC, reported on the Web site allyourtv.com, and today in ""The Washington Post,"" shows NBC big wigs feared that the liberal Mr. Donahue represented in the words of the NBC memo -- quote -- ""a difficult public face for NBC at a time of war, while our competitors are waving the flag at every opportunity because he seems to delight in presenting guests who are anti-war, anti-Bush and skeptical of the administration's motives."" So there it is, according to NBC. Phil Donahue was fired because he's a liberal. In fact, the only liberal with the solo cable talk show. NBC, of course, is a division of the conglomerate GE, where they apparently only bring right wing things to life.",fired,End-Position
74,"You know, you can argue back and forth, but you shouldn't fire someone because of their political views and that's what NBC has done and shame on the General Electric corporation. He had the highest-rated show on the network.",fire,End-Position
75,I used to work there. They're good to me. They're very nice people and they're very good to me...,work,End-Position
76,...but they shouldn't fire a guy for his political views.,fire,End-Position
77,"Former Illinois Senator Carol Moseley-Braun recently decided to run for president. Early reviews have not been good, so yesterday she announced she'll be making some changes. Not to her ideas, which are few. Not to her record, which is pretty embarrassing. Not even to her staff, which is, of course, tiny. But to her name. From here on out, Carol Moseley-Braun as Carol Moseley Braun. Did you catch the difference",Former,End-Position
78,"You become honorable by winning an election of some sort or having a high post, being an ambassador or a governor or some thing.",election,Elect
79,"Not right wing. Take Al Sharpton seriously, that's our message tonight. In a moment, we'll ask two members of Congress if they're convinced that war is the only way to make Saddam Hussein disarm. Later, the pope practices religion and a little anti-war politics on the side. Then, can you spell prosthetic nose",war,Attack
80,"Welcome back to CROSSFIRE. France, Russia and Germany today restated their opposition to any new U.N. Security Council that could threaten Saddam Hussein's grip on power. Secretary of State Colin Powell goes to the U.N. tomorrow to do what he can. We're talking with potential war in Iraq with Congressman Charlie Rangel, a New York Democrat and his fellow New Yorker Republican Congressman Peter King.",goes,Meet
81,"Mr. King, thanks for stying with us through the break. One of the reasons that we like having you on, and as well as Mr. Rangel, is that, you know, this is war, as we were saying in the last segment. You treat it with the gravity and the seriousness that it deserves. And you're a congressman who has put his constituents and his country ahead of his partisan interests. So I wonder if you'll join Charlie Rangel, who put out a press release today, decrying the Republican attempt to hijack a bill to help our servicemen to use it to give special interest tax breaks to corporations. Isn't that wrong in a time of war",war,Attack
82,"Congressman Rangel, a couple of months ago Senator Daschle on CBS said -- made the charge that we are, quote, ""we haven't made any real progress in the war against al Qaeda."" A lot of Democrats said similar things. This weekend Khalid Shaikh Mohammed, the No. 2 member of al Qaeda and another significant al Qaeda member were captured in Rawalpindi, Pakistan. Doesn't it turn out that Mr. Daschle and others didn't know what they were talking about and maybe they shouldn't make charges like that in public when they don't know what they were talking about",war,Attack
83,"If they don't have the pencil that's keeping score, they ought to keep their mouth shut because as a former federal prosecutor, every drug dealer I busted was the most important drug dealer in the world. You just pass out numbers on whoever you arrest. Why was he No. 3",former,End-Position
84,"Well, I don't know. Because he helped plan the attack on the World Trade Center and the Pentagon",attack,Attack
85,"Let me tell you, when you arrest somebody, you describe who you're arresting. I haven't the slightest clue who this guy was.",arrest,Arrest-Jail
86,"Listen, we should be arresting a lot of people. But I think the main thing that we have now is we should concentrate on Osama bin Laden, we should concentrate on dismantling Saddam Hussein. We should do all of those things, but the most important thing is we should not have the arrogance to have a preemptive strike against a defenseless nation without the...",arresting,Arrest-Jail
87,And how'd they get them,get,Transfer-Ownership
88,"Let me tell you. They have it and we supported them having it when they were fighting Iran so it's no big deal there. And the thing is that if we can disarm them without actually going there, killing them, I really think that we maintain our moral authority around the world. We have a lot of people...",fighting,Attack
89,"... that have dangerous weapons. I mean, what happens if India decides that they could have a preemptive strike against Pakistan",strike,Attack
90,Our country is great enough and strong enough to maintain the moral authority to convince the international community that we're right. I don't think we have to kill to prove that.,kill,Die
91,"I'm sorry to have to do this, but we are out of time. I want have Congressman Peter King from New York back on, and Congressman Charlie Rangel. Thank you both for a very interesting debate. One of the most admired men in the world is doing everything he can to avert the horror of war. In a minute we will look at His Holiness, John Paul II's efforts to be a peacemaker. Later, the author of ""Vanity Fair's"" scary new look at the King of Pop, Michael Jackson. You will not want to miss this. Stay with us.",war,Attack
92,"Welcome back to CROSSFIRE. Maybe it's just me, but I think Michael Jackson, he's kooky, wacky. Time now for ""Fireback,"" where our wacky and kooky fans and friends and critics right in. Don from Denver, Colorado writes, ""Paul, you keep referencing Halliburton selling equipment to Iraq"" -- which I do. ""I recall, as reported in 'The Wall Street Journal,' that the transactions were legal. Is it possible that the equipment allowed Iraq to produce oil for the Oil for Food program authorized by the U.N.",right,Phone-Write
93,I would agree with that. What does that have to do with the war in Iraq,war,Attack
94,It means Cheney is a hypocrite. He's trying to lead us into a war against one of his valued customers.,war,Attack
95,"No, no, you're attacking -- OK great. That's great. But it has nothing to do whether we should go to war with Iraq or not.",war,Attack
96,"Right. So we're against Dick Cheney, but that doesn't have anything to do with Saddam Hussein. Chad Hensley, from Fairfax, Virginia, writes, ""France, Russia and German have all multi-billion dollar oil deals with Saddam in Iraq. I wonder why they protest the war with Iraq. It must be the humanitarian reasons."" Well, Chad, that's what liberals assume. That Europe is against the war on humanitarian and moral grounds, but the U.S. is for the war because it wants to profit for the oil companies. It is a weird assumption, don't you think",war,Attack
97,"I don't believe for a minute that this is a war for oil. I think it's unwise, it's unjust, it's unwarranted, but I don't think it's about oil. Now, the reason that France, Russia and Germany are against war is because they have democracies. The people are against it. It's called democracy. Those leaders are reflecting the views of their people.",it,Attack
98,"My name is Christina Wright (ph). I'm from Minneapolis, Minnesota. And I was just curious if you feel that the attack on Iraq would actually open a Pandora's box in other Middle Eastern countries that we are known to aid and harbor terrorists, such as Syria and Iran.",attack,Attack
99,"It might. I mean that's absolutely one of the fears. That it would destabilize the entire region. On the other hand, the region is pretty unstable, filled with people who already hate Americans and seek to do America harm. So the question is, could it be worse",harm,Attack
100,"Hi. I'm Fabian from Bonn, Germany. And my question is, after today's meeting in Paris, where France, Russia and Germany decided to not back a second resolution, who is not (UNINTELLIGIBLE)",meeting,Meet
101,My question is not who votes at the U.N. Who sends troops to die on our side,die,Die
102,"We know that some of the American troops now fighting in Iraq are longtime veterans of warfare, probably not most, but some. Their military service goes back to the Vietnam era. Others, though, are novices. So what is it like for them to face combat far from home",fighting,Attack
103,"For an idea, here is CNN's Candy Crowley with some war stories.",war,Attack
104,"This is a messy business. There's nothing very pretty about the training that you take to prepare you for combat, because it is to kill people.",combat,Attack
105,"In the spring of 1970, a squad of U.S. soldiers spotted a small unit of Viet Cong that had been circling for days. Staff Sergeant Tom Ridge opened fire. A Viet Cong soldier dropped dead. (on camera): Did you at the time or have you since looked back and pondered on killing someone",fire,Attack
106,"Duke Cunningham was a Vietnam fighter ace shooting down five enemy planes. After his first, he returned to a ship deck full of sailors and crew cheering, shaking his hand, pushing in to slap his back.",shooting down,Attack
107,"And one of the guys looked at me and says: Duke, what's it like to kill somebody",kill,Die
108,"And, all of a sudden, bang, it just hit me. You don't think about those things. And it's removed. It's far off. It's not in close. And I went to the priest, because it bothered me. I knew I could do it again. But I didn't know it was going to bother me as much as it did. And it still does.",it,Die
109,"War may sometimes be a necessary thing, but it can never be a natural thing. Training bridges that gap. Sergeant Chuck Hagel was seriously wounded twice in Vietnam.",War,Attack
110,"You are trying to kill people, because the alternative is, if you are in combat, you will be killed. So your choices are not varied. It's very simple. And so you do what you're trained to do. You do what you're there to do. And, in Vietnam, it was body count.",kill,Die
111,"Training is what keeps you running toward the front while trucks loaded with dead bodies pass you, going the other way.",dead,Die
112,"Later, when he was wounded and trapped behind enemy lines in Korea, Staff Sergeant Charlie Rangel led 40 men, fighting their way to safety. He won a Bronze Star.",wounded,Injure
113,"If you're killing people, it's out of fear, not really, in my opinion, out of bravery. Nobody is looking for medals. Everyone wants to live another day.",killing,Die
114,"Don't misunderstand. Rangel, Cunningham, Ridge and Hagel are all proud, decorated combat veterans. It's just, a decade later, killing still troubles the soul. Maybe that's a good thing. (on camera): Did you do it again",combat,Attack
115,"I did. I shot down four more MiGs. And I often told myself -- I said that, if I ever get used to this, I shouldn't be here.",shot down,Attack
116,"As they get ready to head over hostile territory, 10 men aboard this Air Force HC-130 search and rescue and refueling plane start to feel their adrenaline rushing. Who looks out for the unlikely prospect of Iraqi aircraft, and the more likely prospect of Iraqi missiles or artillery. (on camera): Does your mindset change across the border into Iraq",head over,Transport
117,"As a precaution, the crew starts turning the huge plane in circles to see what the targets do. Ultimately it's discovered the targets are U.S. combat helicopters. Minutes later the search and rescue helicopter arrives for its refueling. Watch the flash from our night vision camera as the plane's fuel line connects with the chopper. Both aircraft fly at 125 miles per hour gingerly over enemy land. At times they are only 50 feet apart with the chopper's rotor blades getting closer. Looking with the naked eye out of the plane, the helicopter is impossible to see. The pitch-black maneuver ends after 10 minutes. (on camera): What stops though - we know the Iraqis have fired sand missiles and fired AAA at aircraft all throughout this war. They haven't hit anybody, but isn't it risky flying so low knowing they have that ammunition to fire at you.",fired,Attack
118,"Again, we know where we're going. We know where they're at so we simply avoid them and if for some reason they do get off a lucky shot or they do see us, we have defensive systems on board the airplane to defeat their ammunition.",defeat,Attack
119,No rescues were necessary on this sortie. The plane arrived back to base safely. (on camera): Do you have any fear,arrived,Transport
